model,threshold,f1,mcc,recall,precision,cost
LogisticRegression_Balanced,0.6,0.2689075630252101,0.29954751513084155,0.7058823529411765,0.16608996539792387,12410
LogisticRegression_Balanced,0.61,0.2782608695652174,0.3081585285543778,0.7058823529411765,0.17328519855595667,12290
LogisticRegression_Balanced,0.62,0.2891566265060241,0.3180730969029886,0.7058823529411765,0.18181818181818182,12160
LogisticRegression_Balanced,0.63,0.2848297213622291,0.30878924265404356,0.6764705882352942,0.1803921568627451,13090
LogisticRegression_Balanced,0.64,0.2920634920634921,0.31531417043482346,0.6764705882352942,0.1862348178137652,13010
LogisticRegression_Balanced,0.65,0.2922077922077922,0.3127732803823157,0.6617647058823529,0.1875,13450
LogisticRegression_Balanced,0.66,0.2962962962962963,0.3137772509462522,0.6470588235294118,0.19213973799126638,13850
LogisticRegression_Balanced,0.67,0.3076923076923077,0.323913129473841,0.6470588235294118,0.2018348623853211,13740
LogisticRegression_Balanced,0.68,0.3115942028985507,0.3247164947271226,0.6323529411764706,0.20673076923076922,14150
LogisticRegression_Balanced,0.6900000000000001,0.31226765799256506,0.3226869035538854,0.6176470588235294,0.208955223880597,14590
LogisticRegression_Balanced,0.7000000000000001,0.3178294573643411,0.32499615550951777,0.6029411764705882,0.21578947368421053,14990
LogisticRegression_Balanced,0.7100000000000001,0.32669322709163345,0.3327925326987267,0.6029411764705882,0.22404371584699453,14920
LogisticRegression_Balanced,0.72,0.34024896265560167,0.3446747168811373,0.6029411764705882,0.23699421965317918,14820
LogisticRegression_Balanced,0.73,0.33620689655172414,0.3361028061545654,0.5735294117647058,0.23780487804878048,15750
LogisticRegression_Balanced,0.74,0.3466666666666667,0.3453022435418625,0.5735294117647058,0.2484076433121019,15680
LogisticRegression_Balanced,0.75,0.35944700460829493,0.35654199498503647,0.5735294117647058,0.26174496644295303,15600
LogisticRegression_Balanced,0.76,0.36792452830188677,0.3640047625762273,0.5735294117647058,0.2708333333333333,15550
LogisticRegression_Balanced,0.77,0.37254901960784315,0.36577486342449655,0.5588235294117647,0.27941176470588236,15980
LogisticRegression_Balanced,0.78,0.3711340206185567,0.36014743132924787,0.5294117647058824,0.2857142857142857,16900
LogisticRegression_Balanced,0.79,0.3723404255319149,0.3592046216902147,0.5147058823529411,0.2916666666666667,17350
LogisticRegression_Balanced,0.8,0.3516483516483517,0.3346769462816619,0.47058823529411764,0.2807017543859649,18820
LogisticRegression_Balanced,0.81,0.3522727272727273,0.333585667952315,0.45588235294117646,0.28703703703703703,19270
LogisticRegression_Balanced,0.8200000000000001,0.36257309941520466,0.34325811094730024,0.45588235294117646,0.30097087378640774,19220
LogisticRegression_Balanced,0.8300000000000001,0.36024844720496896,0.3385431660240436,0.4264705882352941,0.3118279569892473,20140
LogisticRegression_Balanced,0.8400000000000001,0.35668789808917195,0.33414482449084315,0.4117647058823529,0.3146067415730337,20610
LogisticRegression_Balanced,0.85,0.3466666666666667,0.3229634030409227,0.38235294117647056,0.3170731707317073,21560
LogisticRegression_Balanced,0.86,0.3561643835616438,0.3327343745953691,0.38235294117647056,0.3333333333333333,21520
LogisticRegression_Balanced,0.87,0.36363636363636365,0.34054054497362257,0.38235294117647056,0.3466666666666667,21490
LogisticRegression_Balanced,0.88,0.3333333333333333,0.3107567736307286,0.3235294117647059,0.34375,23420
LogisticRegression_Balanced,0.89,0.32,0.29947735452816987,0.29411764705882354,0.3508771929824561,24370
LogisticRegression_Balanced,0.9,0.2982456140350877,0.2840962836608569,0.25,0.3695652173913043,25790
LogisticRegression_Balanced,0.91,0.3119266055045872,0.303846637413575,0.25,0.4146341463414634,25740
LogisticRegression_Balanced,0.92,0.2912621359223301,0.2905697216208486,0.22058823529411764,0.42857142857142855,26700
LogisticRegression_Balanced,0.93,0.30927835051546393,0.32343854924423693,0.22058823529411764,0.5172413793103449,26640
LogisticRegression_Balanced,0.9400000000000001,0.3191489361702128,0.343813859684799,0.22058823529411764,0.5769230769230769,26610
LogisticRegression_Balanced,0.9500000000000001,0.3146067415730337,0.35961159136511006,0.20588235294117646,0.6666666666666666,27070
LogisticRegression_Balanced,0.9600000000000001,0.27906976744186046,0.3326835745234794,0.17647058823529413,0.6666666666666666,28060
LogisticRegression_Balanced,0.97,0.25,0.3426749320322856,0.14705882352941177,0.8333333333333334,29020
LogisticRegression_Balanced,0.98,0.23076923076923078,0.33873754221479596,0.1323529411764706,0.9,29510
